raw_emg,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz
146.0000,-0.0015,-0.2817,0.8499,-3.8168,0.9924,0.1298
195.0000,-0.0005,-0.2783,0.8516,-3.9160,1.1450,-0.0153
151.0000,-0.0061,-0.2756,0.8489,-4.1603,1.0763,0.0916
163.0000,-0.0054,-0.2769,0.8472,-3.9237,0.9542,0.1145
186.0000,-0.0012,-0.2795,0.8398,-3.4656,0.9313,0.3359
165.0000,-0.0076,-0.2712,0.8435,-3.4656,0.9008,0.6718
170.0000,-0.0054,-0.2778,0.8472,-3.5344,0.9160,0.5802
183.0000,-0.0024,-0.2744,0.8486,-3.2214,0.8092,0.7405
178.0000,0.0002,-0.2788,0.8569,-3.0840,1.0611,0.7328
178.0000,-0.0054,-0.2798,0.8469,-2.7252,1.1603,0.9084
182.0000,-0.0010,-0.2798,0.8511,-2.3588,1.0076,0.9313
188.0000,-0.0034,-0.2659,0.8511,-2.7939,0.6183,0.9542
186.0000,-0.0071,-0.2683,0.8503,-3.5344,0.0916,0.4427
192.0000,-0.0020,-0.2737,0.8484,-4.0153,-0.1908,0.1679
194.0000,0.0010,-0.2793,0.8560,-5.0611,0.0687,-0.1145
190.0000,-0.0085,-0.2805,0.8459,-6.2519,0.7863,0.0458
195.0000,-0.0037,-0.2715,0.8452,-6.6870,0.7405,-0.1450
204.0000,-0.0017,-0.2844,0.8459,-6.3740,0.3130,-0.1374
205.0000,0.0073,-0.2761,0.8418,-5.8168,0.1145,-0.3817
203.0000,-0.0010,-0.2761,0.8362,-5.3817,-0.0840,-0.4885
214.0000,0.0107,-0.2817,0.8337,-4.1603,-0.0611,-0.4656
217.0000,0.0095,-0.2820,0.8357,-3.1603,0.0534,-0.3282
204.0000,0.0088,-0.2769,0.8425,-2.7023,0.0000,-0.2748
219.0000,0.0017,-0.2825,0.8428,-2.5954,0.7252,-0.3969
221.0000,-0.0071,-0.2793,0.8469,-2.5725,0.8473,-0.3969
212.0000,0.0039,-0.2759,0.8374,-2.7176,0.9924,-0.6031
220.0000,-0.0061,-0.2739,0.8484,-3.1298,1.3435,-0.7405
219.0000,-0.0159,-0.2798,0.8486,-2.9542,1.7099,-0.6565
216.0000,-0.0027,-0.2771,0.8503,-3.0382,1.6183,-0.6489
219.0000,-0.0144,-0.2739,0.8455,-2.9313,1.2901,-0.7786
223.0000,-0.0103,-0.2805,0.8503,-2.8015,1.0916,-0.6794
221.0000,-0.0066,-0.2766,0.8496,-3.1221,0.7557,-0.5191
221.0000,-0.0125,-0.2725,0.8452,-3.1832,0.7481,-0.6718
224.0000,-0.0183,-0.2739,0.8357,-3.4427,0.7328,-0.5038
229.0000,-0.0110,-0.2732,0.8481,-3.8244,0.5954,-0.3435
228.0000,-0.0059,-0.2737,0.8555,-4.0534,0.9618,-0.4656
227.0000,-0.0137,-0.2808,0.8418,-3.8397,0.4656,-0.2443
231.0000,-0.0112,-0.2756,0.8474,-3.7710,0.4809,-0.3817
217.0000,-0.0098,-0.2676,0.8508,-3.7328,0.4351,-0.1603
238.0000,-0.0083,-0.2732,0.8335,-3.4351,0.1069,-0.2901
245.0000,-0.0093,-0.2815,0.8313,-3.5649,-0.1450,-0.0992
240.0000,-0.0020,-0.2742,0.8389,-3.5115,-0.3969,-0.2824
247.0000,0.0017,-0.2642,0.8433,-3.6031,-0.2672,-0.3511
