raw_emg,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz
152.0000,-0.0623,-0.3972,0.8064,-3.9237,1.3740,0.0534
198.0000,-0.0686,-0.3979,0.7922,-4.3435,0.6794,-0.0840
162.0000,-0.0647,-0.3931,0.7993,-4.5344,0.1450,-0.5573
168.0000,-0.0664,-0.4009,0.7993,-4.8702,-0.8244,-1.1374
204.0000,-0.0676,-0.3943,0.7971,-4.9389,-1.2672,-1.6794
166.0000,-0.0610,-0.3970,0.8098,-4.8550,-1.7786,-2.1832
169.0000,-0.0425,-0.3867,0.7993,-4.6565,-1.5878,-2.2443
204.0000,-0.0493,-0.3828,0.7871,-4.6794,-1.3740,-2.5878
181.0000,-0.0474,-0.3928,0.7942,-4.4504,-1.1527,-2.5878
178.0000,-0.0525,-0.3860,0.7859,-3.9695,-0.8168,-2.7023
204.0000,-0.0444,-0.3767,0.7922,-3.9313,-0.4504,-2.5496
185.0000,-0.0437,-0.3723,0.7944,-3.9084,-0.5573,-2.3282
182.0000,-0.0488,-0.3767,0.7856,-3.7557,-0.5954,-2.2214
198.0000,-0.0442,-0.3728,0.8042,-3.2366,-0.4046,-1.8626
194.0000,-0.0413,-0.3630,0.7847,-3.5115,0.0611,-1.2672
191.0000,-0.0449,-0.3650,0.7942,-3.9924,0.7481,-1.1069
194.0000,-0.0425,-0.3694,0.7856,-4.5115,0.7786,-0.4046
202.0000,-0.0425,-0.3687,0.8008,-4.5191,1.3130,0.1221
200.0000,-0.0449,-0.3689,0.8030,-4.1908,2.2290,0.5420
202.0000,-0.0483,-0.3684,0.8064,-4.0305,2.7176,0.7863
205.0000,-0.0566,-0.3755,0.8125,-4.2748,2.4656,0.9389
201.0000,-0.0591,-0.3777,0.8062,-4.0382,2.2443,1.0534
215.0000,-0.0505,-0.3723,0.8135,-4.4122,2.1298,1.2061
217.0000,-0.0571,-0.3843,0.8174,-4.6031,2.1374,0.8473
216.0000,-0.0623,-0.3850,0.8123,-5.0229,1.8244,0.8092
216.0000,-0.0625,-0.3831,0.8091,-4.9466,1.3130,0.9084
220.0000,-0.0544,-0.3843,0.8210,-5.2672,1.1832,0.7786
221.0000,-0.0491,-0.3914,0.8083,-5.5649,0.8931,0.5725
219.0000,-0.0479,-0.3970,0.8113,-5.0305,0.8168,0.1603
233.0000,-0.0530,-0.4006,0.8206,-4.4504,0.7786,-0.2672
230.0000,-0.0459,-0.4004,0.8188,-3.7634,0.7557,-0.2366
214.0000,-0.0522,-0.3918,0.8093,-3.5725,0.8092,-0.3053
233.0000,-0.0515,-0.3984,0.8069,-3.2061,0.7405,-0.8550
231.0000,-0.0486,-0.3916,0.8047,-2.9084,0.3359,-0.9771
229.0000,-0.0491,-0.3965,0.8083,-2.6260,-0.0076,-1.2443
243.0000,-0.0439,-0.3845,0.8059,-2.6794,-0.2290,-1.3053
234.0000,-0.0496,-0.3948,0.8096,-3.4427,-0.0763,-1.2748
233.0000,-0.0500,-0.3896,0.8010,-3.7710,-0.0382,-1.7405
239.0000,-0.0398,-0.3943,0.7991,-4.3206,-0.5115,-1.8015
241.0000,-0.0435,-0.3892,0.8154,-4.8779,-0.7405,-1.8168
238.0000,-0.0459,-0.3877,0.8052,-4.8779,-1.2061,-1.7786
241.0000,-0.0513,-0.3806,0.7979,-4.9313,-0.8931,-1.4351
243.0000,-0.0417,-0.3872,0.8022,-5.4580,-0.5191,-1.2366
244.0000,-0.0471,-0.3877,0.7969,-5.7557,-0.5496,-0.8397
239.0000,-0.0452,-0.3813,0.8037,-5.4656,-0.7634,-0.8244
250.0000,-0.0427,-0.3801,0.7944,-5.2748,-0.8702,-0.6870
252.0000,-0.0430,-0.3853,0.7988,-4.8015,-0.6489,-0.3435
236.0000,-0.0413,-0.3906,0.7988,-4.7099,-0.2672,-0.0153
254.0000,-0.0437,-0.3921,0.8071,-4.3893,1.0076,0.1756
256.0000,-0.0405,-0.3958,0.7939,-4.5267,1.3206,0.0992
257.0000,-0.0464,-0.3884,0.7988,-3.7023,0.9542,0.3588
257.0000,-0.0527,-0.3877,0.8030,-3.0076,0.2443,0.4351
265.0000,-0.0566,-0.3865,0.8057,-2.6794,-0.1756,0.5802
257.0000,-0.0513,-0.3943,0.8020,-3.0458,0.0916,0.2824
269.0000,-0.0474,-0.3899,0.8132,-3.5420,0.2519,0.0992
270.0000,-0.0515,-0.3877,0.8115,-3.7023,0.6565,0.0153
263.0000,-0.0576,-0.3943,0.8088,-3.5878,0.6794,0.1756
274.0000,-0.0522,-0.3933,0.8074,-3.2519,0.5420,-0.0763
280.0000,-0.0527,-0.3936,0.8052,-2.8397,0.1985,-0.4962
264.0000,-0.0603,-0.3984,0.8098,-2.5420,-0.0611,-0.6718
273.0000,-0.0566,-0.3879,0.7991,-2.2061,-0.2214,-0.5878
288.0000,-0.0493,-0.3948,0.8013,-2.1374,0.0382,-0.8321
269.0000,-0.0474,-0.3872,0.8037,-2.2977,0.2061,-0.7099
274.0000,-0.0476,-0.3943,0.7988,-2.5725,0.5191,-0.6947
277.0000,-0.0500,-0.3860,0.8040,-2.4046,0.5267,-0.7176
272.0000,-0.0447,-0.3909,0.7939,-2.6947,0.2061,-0.3282
272.0000,-0.0449,-0.3916,0.7993,-2.6947,0.0840,-0.4656
280.0000,-0.0381,-0.3940,0.8062,-3.1145,0.3435,-0.0763
277.0000,-0.0425,-0.3892,0.7969,-3.6947,0.7481,-0.2061
274.0000,-0.0349,-0.3833,0.8069,-4.6947,0.7023,-0.2748
286.0000,-0.0398,-0.3784,0.8103,-6.5191,0.5267,-0.6260
277.0000,-0.0461,-0.3621,0.8076,-9.5802,0.1374,-0.9847
268.0000,-0.0488,-0.3660,0.8066,-13.0305,0.1374,-1.9160
292.0000,-0.0488,-0.3613,0.8008,-17.8168,-0.8092,-2.4427
