raw_emg,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz
51.0000,-0.0308,-0.2625,0.8333,-3.9618,0.1908,-0.1832
179.0000,-0.0237,-0.2585,0.8335,-4.5267,0.8168,-0.2901
253.0000,-0.0220,-0.2622,0.8545,-4.7405,0.9771,-0.3130
87.0000,-0.0354,-0.2700,0.8518,-4.4809,0.9313,-0.2137
184.0000,-0.0281,-0.2649,0.8538,-3.7176,0.9160,-0.5573
284.0000,-0.0264,-0.2659,0.8511,-2.6260,0.9008,-0.4427
164.0000,-0.0320,-0.2656,0.8533,-2.1221,0.7023,-0.5038
177.0000,-0.0242,-0.2625,0.8584,-1.6183,0.8550,-0.5802
287.0000,-0.0261,-0.2625,0.8555,-1.1756,0.6718,-0.5115
170.0000,-0.0234,-0.2554,0.8584,-0.7405,0.5954,-0.6794
178.0000,-0.0317,-0.2686,0.8547,-0.5649,0.4962,-0.5115
268.0000,-0.0269,-0.2620,0.8599,-0.2672,0.3206,-0.5878
177.0000,-0.0181,-0.2568,0.8508,-0.2595,-0.0840,-0.6565
185.0000,-0.0144,-0.2642,0.8547,-0.3206,-0.2595,-0.8244
239.0000,-0.0232,-0.2498,0.8501,-0.5191,-0.6489,-0.7634
191.0000,-0.0242,-0.2446,0.8528,-1.6336,-0.8015,-0.8855
183.0000,-0.0171,-0.2451,0.8506,-3.0763,-1.0840,-0.6718
229.0000,-0.0237,-0.2534,0.8481,-3.9771,-0.8473,-0.6107
189.0000,-0.0225,-0.2588,0.8523,-4.2061,-1.0229,-0.7405
187.0000,-0.0178,-0.2566,0.8579,-4.5802,-1.0611,-0.6489
210.0000,-0.0173,-0.2598,0.8611,-4.3130,-0.8397,-0.7939
208.0000,-0.0303,-0.2620,0.8555,-3.5878,-0.9695,-0.5573
180.0000,-0.0320,-0.2700,0.8601,-2.4427,-1.1756,-0.5725
218.0000,-0.0225,-0.2671,0.8613,-1.9160,-1.1985,-0.5344
218.0000,-0.0278,-0.2593,0.8464,-1.6870,-1.1298,-0.4809
187.0000,-0.0332,-0.2488,0.8547,-1.6794,-0.8626,-0.5649
225.0000,-0.0278,-0.2527,0.8589,-1.8702,-1.3206,-0.3435
233.0000,-0.0327,-0.2585,0.8635,-2.3588,-1.3130,-0.4046
193.0000,-0.0315,-0.2517,0.8572,-2.7557,-1.3740,-0.3893
226.0000,-0.0315,-0.2524,0.8582,-3.1679,-1.3817,-0.8015
256.0000,-0.0334,-0.2542,0.8616,-3.5954,-1.6260,-0.6641
210.0000,-0.0305,-0.2561,0.8567,-3.8397,-1.7252,-0.6183
228.0000,-0.0337,-0.2615,0.8511,-3.9847,-1.7786,-0.4198
267.0000,-0.0325,-0.2637,0.8533,-4.1756,-1.8092,-0.6718
228.0000,-0.0334,-0.2656,0.8486,-3.9618,-1.9237,-0.7710
235.0000,-0.0281,-0.2563,0.8530,-3.8397,-1.8626,-0.6870
273.0000,-0.0288,-0.2629,0.8481,-3.7252,-1.8931,-0.7405
232.0000,-0.0315,-0.2571,0.8376,-3.8855,-1.9389,-0.7176
237.0000,-0.0325,-0.2588,0.8420,-4.1603,-1.9771,-0.8321
273.0000,-0.0291,-0.2566,0.8289,-4.6412,-1.9466,-0.8397
240.0000,-0.0286,-0.2556,0.8303,-5.5420,-1.9466,-0.8015
239.0000,-0.0278,-0.2522,0.8323,-7.1527,-1.6565,-1.1756
266.0000,-0.0273,-0.2551,0.8318,-8.7023,-1.4733,-1.2901
241.0000,-0.0330,-0.2622,0.8301,-10.1985,-1.4198,-1.3740
258.0000,-0.0273,-0.2563,0.8369,-11.8855,-1.3206,-1.5191
257.0000,-0.0254,-0.2424,0.8374,-14.5573,-1.0840,-1.6947
250.0000,-0.0303,-0.2451,0.8330,-17.0000,-1.0611,-2.2366
235.0000,-0.0315,-0.2422,0.8289,-19.7252,-1.0611,-2.2672
254.0000,-0.0322,-0.2307,0.8513,-23.9771,-1.3969,-2.9008
256.0000,-0.0400,-0.2129,0.8547,-30.3664,-1.7786,-3.7710
248.0000,-0.0410,-0.2322,0.8271,-36.1069,-2.1603,-4.4504
