raw_emg,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz
4.0000,0.0093,-0.2583,0.8472,-4.2672,-0.2901,-0.7405
4.0000,0.0105,-0.2620,0.8359,-4.0687,-0.8321,-0.4809
4.0000,0.0059,-0.2581,0.8398,-3.5191,-0.8168,-0.5954
107.0000,0.0115,-0.2615,0.8467,-2.8550,-1.0458,-0.3206
122.0000,0.0093,-0.2542,0.8401,-2.6107,-1.3740,-0.1527
133.0000,0.0056,-0.2461,0.8408,-2.5115,-1.3817,-0.3130
145.0000,0.0054,-0.2468,0.8513,-2.9389,-0.9847,-0.3053
148.0000,0.0066,-0.2383,0.8589,-3.2519,-0.5038,-0.3893
155.0000,0.0049,-0.2458,0.8567,-3.7634,0.1527,-0.4656
159.0000,-0.0015,-0.2522,0.8523,-4.0840,0.6183,-0.2748
168.0000,0.0071,-0.2407,0.8408,-4.3435,0.2595,-0.4351
173.0000,0.0005,-0.2483,0.8481,-4.4275,0.4275,-0.0458
175.0000,-0.0078,-0.2444,0.8501,-4.1450,0.2443,-0.1450
180.0000,0.0027,-0.2463,0.8440,-4.0000,0.5191,0.0534
184.0000,0.0063,-0.2463,0.8513,-4.0382,0.1374,0.0458
185.0000,-0.0002,-0.2483,0.8484,-4.0534,0.1221,0.1603
194.0000,-0.0022,-0.2500,0.8457,-3.9618,0.0534,0.0000
192.0000,0.0073,-0.2520,0.8445,-4.3511,0.1985,0.1908
199.0000,0.0017,-0.2432,0.8369,-4.4504,0.5878,0.3969
201.0000,0.0017,-0.2544,0.8359,-4.3282,0.8092,0.2137
208.0000,0.0000,-0.2625,0.8403,-3.6489,0.3130,0.3893
208.0000,-0.0042,-0.2585,0.8538,-2.8321,-0.0382,0.3664
212.0000,0.0010,-0.2468,0.8572,-2.1985,-0.1908,0.1603
218.0000,0.0054,-0.2310,0.8567,-2.3511,-0.0458,-0.4809
218.0000,0.0100,-0.2358,0.8684,-3.4580,0.2748,-0.7863
219.0000,-0.0063,-0.2620,0.8584,-3.8397,0.4580,-0.9771
217.0000,-0.0037,-0.2544,0.8452,-4.3130,0.7252,-0.6641
216.0000,-0.0020,-0.2544,0.8503,-4.6718,0.5191,-0.6718
227.0000,-0.0010,-0.2532,0.8472,-5.0305,0.7328,-0.2901
231.0000,0.0098,-0.2617,0.8442,-4.3511,-0.3817,-0.1527
231.0000,0.0005,-0.2610,0.8416,-3.8244,-1.1908,-0.5954
