raw_emg,filtered_emg
200.0,0.12760015893270105
199.0,0.4928738087028222
197.0,-1.1295178153913965
194.0,-2.7989925785928156
194.0,-2.77320157375567
197.0,-1.763859850011273
197.0,0.13092510226912452
203.0,2.24991904129985
204.0,2.0138433283822628
202.0,0.17121518115481466
208.0,0.6460188140905296
208.0,2.306316238920477
210.0,0.4221183162738321
210.0,-2.9598903336459745
207.0,-2.3045059977650846
218.0,-0.21233166911644266
215.0,-0.9736724911328425
215.0,-0.9511451093954213
225.0,1.2569414185511778
222.0,1.3097614913175941
223.0,0.2252045497181599
229.0,1.0128619223712003
228.0,1.4458232663282296
229.0,0.6334347116408499
233.0,0.2600753439279475
231.0,-0.22542623158604808
234.0,-0.6405668620503111
237.0,0.4022992252431278
237.0,0.672590902484435
239.0,-1.9392274615796083
237.0,-3.193982396877807
243.0,0.11737584961008762
247.0,2.3134963735881477
247.0,-0.15432048311651453
245.0,-1.008349331551656
252.0,1.4168200098850146
252.0,0.5490332738288146
249.0,-2.229047858351922
253.0,-1.0448542427379235
257.0,0.4462642566342708
256.0,-0.5155024799909647
258.0,1.0237993710345377
266.0,3.595616474711184
263.0,2.1449218271301502
262.0,0.1925383394924584
266.0,0.022310383287850677
267.0,-1.5320558984060337
260.0,-2.4476800189453165
276.0,-0.5555354294873012
268.0,0.5391063208970187
274.0,-0.018093702242540366
276.0,-0.6716852055766191
274.0,-1.5263353826766815
278.0,-0.8504815142442392
281.0,1.0476736031939955
282.0,-0.08135241385661622
280.0,-2.4968513746488696
283.0,-0.5258019936877276
291.0,3.161407244220779
286.0,2.0151908623103365
288.0,-2.0934283426223312
287.0,-1.751259856377168
293.0,3.2625522347113227
296.0,4.135074802617263
293.0,-0.8148267695473452
292.0,-0.5586962032645654
300.0,5.010646861311059
299.0,1.1978987549950084
291.0,-8.491881722154126
286.0,-5.882326360829741
317.0,4.09863728582509
297.0,4.941065188357783
309.0,-0.5723689855821013
301.0,-4.190599872851575
302.0,-5.232901787332328
306.0,-1.814646309173945
315.0,3.680130168177143
316.0,4.0144212536673995
310.0,0.5947039252838975
314.0,-1.3923992422252343
313.0,-0.3347675095282159
320.0,5.333974511642985
320.0,8.589435847779972
325.0,-0.315640312433237
299.0,-8.965717203146832
321.0,-2.70454153267144
328.0,4.410926056690574
318.0,0.18639269702120387
325.0,-4.326808386093646
320.0,-4.391536725667203
334.0,-2.036290411490442
329.0,7.683189302172206
358.0,13.720627674476347
329.0,0.04213296544625633
326.0,-15.024677341521494
322.0,-11.514726822390072
343.0,-5.215298729178145
335.0,-3.4668278088739832
345.0,6.481401632210775
366.0,11.522455513949783
337.0,-1.4308815593255781
335.0,-7.509725424027874
354.0,5.042821079719786
357.0,15.580869847404621
355.0,15.653056766043317
341.0,3.9481235389388583
339.0,-18.528809608601847
291.0,-22.172481054448696
374.0,3.475737974489709
337.0,12.756942439037344
350.0,-11.312604714243887
321.0,-20.842967764795034
358.0,3.688521373367818
384.0,19.75861284823057
327.0,0.7159987769577172
366.0,-21.873900448126015
293.0,-6.807400600768999
405.0,33.334955000219026
347.0,42.79273722261813
316.0,2.1490388774275764
